3745487362.07813	1.000	0.0000000002	5722460658.08298	
3745487362.08500	1.000	0.0000000002	5758710048.94904	
3745487362.09182	1.000	0.0000000002	5747126436.78161	
3745487362.09800	1.000	0.0000000002	5707762557.07763	
3745487362.10485	1.000	0.0000000002	5688282138.79408	
3745487362.11096	1.000	0.0000000002	5738880918.22095	
3745487362.11782	1.000	0.0000000002	5787037037.03704	
3745487362.12380	1.000	0.0000000002	5825808330.90591	
3745487362.12964	1.000	0.0000000002	5812263876.78001	
3745487362.13578	1.000	0.0000000002	5871990604.81503	
3745487362.14175	1.000	0.0000000002	5868544600.93897	
3745487362.14774	1.000	0.0000000002	5856515373.35285	
3745487362.15373	1.000	0.0000000002	5922416345.86911	
3745487362.15971	1.000	0.0000000002	5918910920.39065	
3745487362.16554	1.000	0.0000000002	6020469596.62854	
3745487362.17153	1.000	0.0000000002	6090133982.94762	
3745487362.17751	1.000	0.0000000002	6101281269.06650	
3745487362.18352	1.000	0.0000000002	6009615384.61539	
3745487362.18948	1.000	0.0000000002	5934718100.89021	
3745487362.19546	1.000	0.0000000002	6056935190.79346	
3745487362.20147	1.000	0.0000000002	6133088009.81294	
3745487362.20743	1.000	0.0000000002	6103143118.70613	
3745487362.21478	1.000	0.0000000002	6163328197.22650	
3745487362.22173	1.000	0.0000000002	6205398696.86627	
3745487362.22873	1.000	0.0000000002	6240249609.98440	
3745487362.23537	1.000	0.0000000002	6317119393.55654	
3745487362.24134	1.000	0.0000000002	6224712107.06505	
3745487362.24832	1.000	0.0000000002	6251953735.54236	
3745487362.25432	1.000	0.0000000002	6253908692.93308	
3745487362.26029	1.000	0.0000000002	6333122229.25902	
3745487362.26629	1.000	0.0000000002	6309148264.98423	
3745487362.27227	1.000	0.0000000002	6289308176.10063	
3745487362.27824	1.000	0.0000000002	6365372374.28390	
3745487362.28422	1.000	0.0000000002	6424670735.62480	
3745487362.29021	1.000	0.0000000002	6361323155.21628	
3745487362.29621	1.000	0.0000000002	6441223832.52818	
3745487362.30219	1.000	0.0000000002	6412311638.34562	
3745487362.30717	1.000	0.0000000002	6453694740.23879	
3745487362.31415	1.000	0.0000000002	6491398896.46219	
3745487362.32014	1.000	0.0000000002	6428801028.60816	
3745487362.32614	1.000	0.0000000002	6428801028.60816	
3745487362.33210	1.000	0.0000000002	6441223832.52818	
3745487362.33808	1.000	0.0000000002	6546644844.51719	
3745487362.34407	1.000	0.0000000002	6633499170.81260	
3745487362.35005	1.000	0.0000000002	6559527714.00459	
3745487362.35605	1.000	0.0000000002	6555227794.16585	
3745487362.36202	1.000	0.0000000002	6613756613.75661	
3745487362.36800	1.000	0.0000000002	6620324395.89540	
3745487362.37398	1.000	0.0000000002	6626905235.25514	
3745487362.37998	1.000	0.0000000002	6563833278.63472	
3745487362.38596	1.000	0.0000000001	6702412868.63271	
3745487362.39194	1.000	0.0000000002	6664445184.93835	
3745487362.39794	1.000	0.0000000001	6763611768.68448	
3745487362.40395	1.000	0.0000000001	6779661016.94915	
3745487362.40996	1.000	0.0000000001	6727211570.80390	
3745487362.41595	1.000	0.0000000001	6675567423.23098	
3745487362.42195	1.000	0.0000000002	6662225183.21119	
3745487362.42795	1.000	0.0000000001	6821282401.09141	
3745487362.43396	1.000	0.0000000001	6973500697.35007	
3745487362.43995	1.000	0.0000000001	7037297677.69177	
3745487362.44580	1.000	0.0000000001	6932409012.13172	
3745487362.45195	1.000	0.0000000001	6754474839.58122	
3745487362.45776	1.000	0.0000000001	6894174422.61289	
3745487362.46393	1.000	0.0000000001	6973500697.35007	
3745487362.46991	1.000	0.0000000001	6980802792.32112	
3745487362.47589	1.000	0.0000000001	6973500697.35007	
3745487362.48186	1.000	0.0000000001	7089684509.03935	
3745487362.48785	1.000	0.0000000001	6997900629.81106	
3745487362.49383	1.000	0.0000000001	6963788300.83565	
3745487362.49983	1.000	0.0000000001	6988120195.66737	
3745487362.50582	1.000	0.0000000001	7160759040.45829	
3745487362.51178	1.000	0.0000000001	7209805335.25595	
3745487362.51778	1.000	0.0000000001	7135212272.56511	
3745487362.52276	1.000	0.0000000001	7069635913.75044	
3745487362.52759	1.000	0.0000000001	7334066740.00733	
3745487362.53374	1.000	0.0000000001	7347538574.57752	
3745487362.53972	1.000	0.0000000001	7355645457.88893	
3745487362.54570	1.000	0.0000000001	7393715341.95933	
3745487362.55169	1.000	0.0000000001	7178750897.34386	
3745487362.55650	1.000	0.0000000001	7168458781.36201	
3745487362.56266	1.000	0.0000000001	7385524372.23043	
3745487362.56863	1.000	0.0000000001	7358351729.21266	
3745487362.57446	1.000	0.0000000001	7323324789.45441	
3745487362.58045	1.000	0.0000000001	7259528130.67151	
3745487362.58741	1.000	0.0000000001	7225433526.01156	
3745487362.59241	1.000	0.0000000001	7288629737.60933	
3745487362.59855	1.000	0.0000000001	7496251874.06297	
3745487362.60453	1.000	0.0000000001	7593014426.72741	
3745487362.61052	1.000	0.0000000001	7530120481.92771	
3745487362.61733	1.000	0.0000000001	7479431563.20120	
3745487362.62332	1.000	0.0000000001	7465472191.11609	
3745487362.62848	1.000	0.0000000001	7485029940.11976	
3745487362.63429	1.000	0.0000000001	7639419404.12529	
3745487362.63928	1.000	0.0000000001	7584376185.05878	
3745487362.64626	1.000	0.0000000001	7671653241.27349	
3745487362.65224	1.000	0.0000000001	7541478129.71342	
3745487362.65957	1.000	0.0000000001	7587253414.26404	
3745487362.66721	1.000	0.0000000001	7624857033.93061	
3745487362.67319	1.000	0.0000000001	7541478129.71342	
3745487362.68117	1.000	0.0000000001	7619047619.04762	
3745487362.68815	1.000	0.0000000001	7806401249.02420	
3745487362.69513	1.000	0.0000000001	7911392405.06329	
3745487362.70211	1.000	0.0000000001	7864726700.74715	
3745487362.70909	1.000	0.0000000001	7870916961.82605	
3745487362.71608	1.000	0.0000000001	7858546168.95874	
3745487362.72207	1.000	0.0000000001	7898894154.81833	
3745487362.72906	1.000	0.0000000001	7933359777.86593	
3745487362.73502	1.000	0.0000000001	7880220646.17809	
3745487362.74100	1.000	0.0000000001	7809449433.81492	
3745487362.74699	1.000	0.0000000001	7914523149.98021	
3745487362.75298	1.000	0.0000000001	8051529790.66023	
3745487362.75896	1.000	0.0000000001	8087343307.72341	
3745487362.76495	1.000	0.0000000001	8022462896.10911	
3745487362.77095	1.000	0.0000000001	7927070947.28498	
3745487362.77695	1.000	0.0000000001	7933359777.86593	
3745487362.78295	1.000	0.0000000001	8116883116.88312	
3745487362.78895	1.000	0.0000000001	8058017727.63900	
3745487362.79486	1.000	0.0000000001	7945967421.53357	
3745487362.80110	1.000	0.0000000001	8032128514.05622	
3745487362.80782	1.000	0.0000000001	8240626287.59786	
3745487362.81482	1.000	0.0000000001	8298755186.72199	
3745487362.82081	1.000	0.0000000001	8230452674.89712	
3745487362.82813	1.000	0.0000000001	8203445447.08778	
3745487362.83475	1.000	0.0000000001	8136696501.22050	
3745487362.84183	1.000	0.0000000001	8133387555.91704	
3745487362.84801	1.000	0.0000000001	8163265306.12245	
3745487362.85500	1.000	0.0000000001	8196721311.47541	
3745487362.86068	1.000	0.0000000001	8316008316.00832	
3745487362.86685	1.000	0.0000000001	8347245409.01503	
3745487362.87285	1.000	0.0000000001	8445945945.94595	
3745487362.87881	1.000	0.0000000001	8435259384.22607	
3745487362.88478	1.000	0.0000000001	8467400508.04403	
3745487362.89060	1.000	0.0000000001	8438818565.40084	
3745487362.89675	1.000	0.0000000001	8557980316.64527	
3745487362.90295	1.000	0.0000000001	8587376556.46200	
3745487362.90893	1.000	0.0000000001	8463817181.54888	
3745487362.91491	1.000	0.0000000001	8449514152.93621	
3745487362.92090	1.000	0.0000000001	8488964346.34975	
3745487362.92788	1.000	0.0000000001	8382229673.09304	
3745487362.93385	1.000	0.0000000001	8329862557.26781	
3745487362.93983	1.000	0.0000000001	8227067050.59646	
3745487362.94582	1.000	0.0000000001	8428150021.07038	
3745487362.95182	1.000	0.0000000001	8543357539.51303	
3745487362.95765	1.000	0.0000000001	8714596949.89107	
3745487362.96478	1.000	0.0000000001	8550662676.35742	
3745487362.97077	1.000	0.0000000001	8688097306.68983	
3745487362.97675	1.000	0.0000000001	8722197993.89446	
